modifier_id,description_clean
MOD_ATTRIBUTE_CULTURAL_10,+5 Culture per Age. Repeatable.
MOD_ATTRIBUTE_CULTURAL_LEGEND_ADA_LOVELACE_L2,Legend Unlock. +15% Production towards constructing Buildings and Wonders with Great Works slots.
MOD_ATTRIBUTE_CULTURAL_LEGEND_ALEXANDER_L1,Legend Unlock. +15% Production towards constructing Buildings and Wonders with Great Works slots.
MOD_ATTRIBUTE_CULTURAL_LEGEND_AUGUSTUS_L1,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_CULTURAL_LEGEND_AUGUSTUS_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_CULTURAL_LEGEND_CATHERINE_L1,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_CULTURAL_LEGEND_CATHERINE_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_CULTURAL_LEGEND_FRIEDRICH_ALT_L1_01,Legend Unlock. +15% Production towards constructing Buildings and Wonders with Great Works slots.
MOD_ATTRIBUTE_CULTURAL_LEGEND_HATSHEPSUT_L1,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_CULTURAL_LEGEND_HATSHEPSUT_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_CULTURAL_LEGEND_HIMIKO_ALT_L1,Legend Unlock. +15% Production towards constructing Buildings and Wonders with Great Works slots.
MOD_ATTRIBUTE_CULTURAL_LEGEND_JOSE_RIZAL_L1,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_CULTURAL_LEGEND_JOSE_RIZAL_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_CULTURAL_LEGEND_LAFAYETTE_L1,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_CULTURAL_LEGEND_LAFAYETTE_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_CULTURAL_LEGEND_NAPOLEON_ALT_L1,Legend Unlock. +15% Production towards constructing Buildings and Wonders with Great Works slots.
MOD_ATTRIBUTE_CULTURAL_LEGEND_XERXES_ALT_L1_01,Legend Unlock. +15% Production towards constructing Buildings and Wonders with Great Works slots.
MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_ASHOKA_ALT_L1_01,Legend Unlock. +25% Relationship from starting or supporting Endeavors. -25% Relationship from starting Sanctions or rejecting Endeavors.
MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_ASHOKA_L1_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_ASHOKA_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_BENJAMIN_FRANKLIN_L1_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_BENJAMIN_FRANKLIN_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_GILGAMESH_L1_01,Legend Unlock. +25% Relationship from starting or supporting Endeavors. -25% Relationship from starting Sanctions or rejecting Endeavors.
MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_HARRIET_TUBMAN_L1_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_HARRIET_TUBMAN_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_HIMIKO_ALT_L2_01,Legend Unlock. +25% Relationship from starting or supporting Endeavors. -25% Relationship from starting Sanctions or rejecting Endeavors.
MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_HIMIKO_L1_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_HIMIKO_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_JOSE_RIZAL_L2_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_JOSE_RIZAL_L2_DESCRIPTION_BASE}
MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_LAFAYETTE_L2_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_LAFAYETTE_L2_DESCRIPTION_BASE}
MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_LAKSHMIBAI_L1_01,Legend Unlock. +25% Relationship from starting or supporting Endeavors. -25% Relationship from starting Sanctions or rejecting Endeavors.
MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_MACHIAVELLI_L1_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_MACHIAVELLI_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_NAPOLEON_L1_01,Legend Unlock. +25% Relationship from starting or supporting Endeavors. -25% Relationship from starting Sanctions or rejecting Endeavors.
MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_SAYYIDA_L1_01,Legend Unlock. +25% Relationship from starting or supporting Endeavors. -25% Relationship from starting Sanctions or rejecting Endeavors.
MOD_ATTRIBUTE_DIPLOMATIC_LEGEND_TECUMSEH_L2_01,Legend Unlock. +25% Relationship from starting or supporting Endeavors. -25% Relationship from starting Sanctions or rejecting Endeavors.
MOD_ATTRIBUTE_ECONOMIC_01_A,+1Gold Gold per Age on the Palace and City Halls.
MOD_ATTRIBUTE_ECONOMIC_02,+2 Gold per Age for every active Trade Route.
MOD_ATTRIBUTE_ECONOMIC_03_A,+2 Gold for every Tech and Civic Mastery completed in an Age.
MOD_ATTRIBUTE_ECONOMIC_04,+1 Gold for every imported Resource.
MOD_ATTRIBUTE_ECONOMIC_05_A,+15%Gold towards purchasing in all Settlements.
MOD_ATTRIBUTE_ECONOMIC_06_A,"+1 Gold on Resources in Towns, or +2 in Towns in Distant Lands."
MOD_ATTRIBUTE_ECONOMIC_07_A,"+1 Resource Capacity in Cities, or +2 if you have 3 or fewer Cities."
MOD_ATTRIBUTE_ECONOMIC_08,+10 Gold per Age for every Alliance you have.
MOD_ATTRIBUTE_ECONOMIC_09,+1 Resource Capacity in Towns.
MOD_ATTRIBUTE_ECONOMIC_10,+5 Gold per Age. Repeatable.
MOD_ATTRIBUTE_ECONOMIC_LEGEND_AMINA_L1_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK}{LOC_MOD_ATTRIBUTE_ECONOMIC_LEGEND_AMINA_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_ECONOMIC_LEGEND_EDWARD_TEACH_L2_01,Legend Unlock.+25% Gold from Trade Income and Treasure Convoys.
MOD_ATTRIBUTE_ECONOMIC_LEGEND_HATSHEPSUT_L2_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK}{LOC_MOD_ATTRIBUTE_ECONOMIC_LEGEND_HATSHEPSUT_L2_DESCRIPTION_BASE}
MOD_ATTRIBUTE_ECONOMIC_LEGEND_IBN_BATTUTA_L1_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK}{LOC_MOD_ATTRIBUTE_ECONOMIC_LEGEND_IBN_BATTUTA_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_ECONOMIC_LEGEND_ISABELLA_L1_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK}{LOC_MOD_ATTRIBUTE_ECONOMIC_LEGEND_ISABELLA_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_ECONOMIC_LEGEND_MACHIAVELLI_L2_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK}{LOC_MOD_ATTRIBUTE_ECONOMIC_LEGEND_MACHIAVELLI_L2_DESCRIPTION_BASE}
MOD_ATTRIBUTE_ECONOMIC_LEGEND_NAPOLEON_L2_01,Legend Unlock.+25% Gold from Trade Income and Treasure Convoys.
MOD_ATTRIBUTE_ECONOMIC_LEGEND_PACHACUTI_L1_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK}{LOC_MOD_ATTRIBUTE_ECONOMIC_LEGEND_PACHACUTI_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_ECONOMIC_LEGEND_XERXES_ALT_L2_01,Legend Unlock.+25% Gold from Trade Income and Treasure Convoys.
MOD_ATTRIBUTE_ECONOMIC_LEGEND_XERXES_L1_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK}{LOC_MOD_ATTRIBUTE_ECONOMIC_LEGEND_XERXES_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_EXPANSIONIST_01,+25% Production towards training Settlers.
MOD_ATTRIBUTE_EXPANSIONIST_02,+5% Growth Rate in Cities.
MOD_ATTRIBUTE_EXPANSIONIST_03,+1 Food per Age on Warehouse Buildings.
MOD_ATTRIBUTE_EXPANSIONIST_04,15% of Food is refunded when a City grows by adding a Specialist.
MOD_ATTRIBUTE_EXPANSIONIST_05_A,Gain +1 Population in Towns. New Towns start with an additional Population.
MOD_ATTRIBUTE_EXPANSIONIST_06_A,"+10% Food and Happiness towards maintaining Specialists, or +20% if you have 3 or fewer Cities."
MOD_ATTRIBUTE_EXPANSIONIST_07_A,"+15% Yields in Towns with a Specialization, or +30% in Distant Lands."
MOD_ATTRIBUTE_EXPANSIONIST_08_A,"+1 Specialist Limit in all Cities, -1 Settlement Limit."
MOD_ATTRIBUTE_EXPANSIONIST_09,+1 Settlement Limit.
MOD_ATTRIBUTE_EXPANSIONIST_10,+1 Food in Cities per Town you own. Repeatable.
MOD_ATTRIBUTE_EXPANSIONIST_LEGEND_ASHOKA_L2,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_EXPANSIONIST_LEGEND_ASHOKA_L2_DESCRIPTION_BASE}
MOD_ATTRIBUTE_EXPANSIONIST_LEGEND_AUGUSTUS_L2,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_EXPANSIONIST_LEGEND_AUGUSTUS_L2_DESCRIPTION_BASE}
MOD_ATTRIBUTE_EXPANSIONIST_LEGEND_BOLIVAR_L1,Legend Unlock. +50% Gold towards converting a Town to a City.
MOD_ATTRIBUTE_EXPANSIONIST_LEGEND_CONFUCIUS_L1,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_EXPANSIONIST_LEGEND_CONFUCIUS_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_EXPANSIONIST_LEGEND_GENGHIS_KHAN_L1,Legend Unlock. +50% Gold towards converting a Town to a City.
MOD_ATTRIBUTE_EXPANSIONIST_LEGEND_IBN_BATTUTA_L2,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_EXPANSIONIST_LEGEND_IBN_BATTUTA_L2_DESCRIPTION_BASE}
MOD_ATTRIBUTE_EXPANSIONIST_LEGEND_ISABELLA_L2,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_EXPANSIONIST_LEGEND_ISABELLA_L2_DESCRIPTION_BASE}
MOD_ATTRIBUTE_EXPANSIONIST_LEGEND_PACHACUTI_L2,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_EXPANSIONIST_LEGEND_PACHACUTI_L2_DESCRIPTION_BASE}
MOD_ATTRIBUTE_MILITARISTIC_01,+5 Combat Strength against Independent Powers and City-States.
MOD_ATTRIBUTE_MILITARISTIC_02,Gain 1 War Support on all your Wars.
MOD_ATTRIBUTE_MILITARISTIC_03,+50% Influence towards Levying Units from City-States.
MOD_ATTRIBUTE_MILITARISTIC_04,+15%Production towards training Military Units.
MOD_ATTRIBUTE_MILITARISTIC_05,Ignore the Happiness penalty from Unhappiness Unrest in captured Settlements.
MOD_ATTRIBUTE_MILITARISTIC_06,Garrisoned Commanders reduce Happiness penalties by an additional 10%.
MOD_ATTRIBUTE_MILITARISTIC_07,-1 Gold Maintenance for all Units.
MOD_ATTRIBUTE_MILITARISTIC_08,+1 Settlement Limit.
MOD_ATTRIBUTE_MILITARISTIC_09,Commanders gain a free Promotion. New Commanders start with a free Promotion.
MOD_ATTRIBUTE_MILITARISTIC_10,Units gain +2 Healing. Repeatable.
MOD_ATTRIBUTE_MILITARISTIC_LEGEND_ALEXANDER_L2,Legend Unlock. +5 Combat Strength for all Units against Fortified Districts.
MOD_ATTRIBUTE_MILITARISTIC_LEGEND_AMINA_L2,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_MILITARISTIC_LEGEND_AMINA_L2_DESCRIPTION_BASE}
MOD_ATTRIBUTE_MILITARISTIC_LEGEND_ASHOKA_ALT_L2,Legend Unlock. +5 Combat Strength for all Units against Fortified Districts.
MOD_ATTRIBUTE_MILITARISTIC_LEGEND_BOLIVAR_L2,Legend Unlock. +5 Combat Strength for all Units against Fortified Districts.
MOD_ATTRIBUTE_MILITARISTIC_LEGEND_CHARLEMAGNE_L1,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_MILITARISTIC_LEGEND_CHARLEMAGNE_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_MILITARISTIC_LEGEND_EDWARD_TEACH_L1,Legend Unlock. +5 Combat Strength for all Units against Fortified Districts.
MOD_ATTRIBUTE_MILITARISTIC_LEGEND_FRIEDRICH_ALT_L2,Legend Unlock. +5 Combat Strength for all Units against Fortified Districts.
MOD_ATTRIBUTE_MILITARISTIC_LEGEND_FRIEDRICH_L1,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_MILITARISTIC_LEGEND_FRIEDRICH_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_MILITARISTIC_LEGEND_GENGHIS_KHAN_L2,Legend Unlock. +5 Combat Strength for all Units against Fortified Districts.
MOD_ATTRIBUTE_MILITARISTIC_LEGEND_GILGAMESH_L2,Legend Unlock. +5 Combat Strength for all Units against Fortified Districts.
MOD_ATTRIBUTE_MILITARISTIC_LEGEND_HARRIET_TUBMAN_L2,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_MILITARISTIC_LEGEND_HARRIET_TUBMAN_L2_DESCRIPTION_BASE}
MOD_ATTRIBUTE_MILITARISTIC_LEGEND_LAKSHMIBAI_L2,Legend Unlock. +5 Combat Strength for all Units against Fortified Districts.
MOD_ATTRIBUTE_MILITARISTIC_LEGEND_NAPOLEON_ALT_L2,Legend Unlock. +5 Combat Strength for all Units against Fortified Districts.
MOD_ATTRIBUTE_MILITARISTIC_LEGEND_SAYYIDA_L2,Legend Unlock. +5 Combat Strength for all Units against Fortified Districts.
MOD_ATTRIBUTE_MILITARISTIC_LEGEND_TECUMSEH_L1,Legend Unlock. +5 Combat Strength for all Units against Fortified Districts.
MOD_ATTRIBUTE_MILITARISTIC_LEGEND_TRUNG_TRAC_L1,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_MILITARISTIC_LEGEND_TRUNG_TRAC_L1_DESCRIPTION_BASE}
MOD_ATTRIBUTE_MILITARISTIC_LEGEND_XERXES_L2,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_MILITARISTIC_LEGEND_XERXES_L2_DESCRIPTION_BASE}
MOD_ATTRIBUTE_POLITICAL_01_A,+1Happiness Happiness per Age on the Palace and City Halls.
MOD_ATTRIBUTE_POLITICAL_02,+1Influence Influence per Age on the Palace.
MOD_ATTRIBUTE_POLITICAL_03,+1Happiness Happiness in Settlements for each Resource assigned to them.
MOD_ATTRIBUTE_POLITICAL_04,+50% Influence towards initiating and progressing the Befriend Independent Project.
MOD_ATTRIBUTE_POLITICAL_05,+25% Influence towards supporting or rejecting Diplomatic Actions.
MOD_ATTRIBUTE_POLITICAL_06,+50% Celebration length.
MOD_ATTRIBUTE_POLITICAL_07_A,+2 Culture and Science per Age for each City-State you are Suzerain of.
MOD_ATTRIBUTE_POLITICAL_08,+1 Tradition slot.
MOD_ATTRIBUTE_POLITICAL_09,Unlock the Espionage Military Sabotage Espionage Action.
MOD_ATTRIBUTE_POLITICAL_10_A,+3Influence Influence and +5Happiness Happiness per Age. Repeatable.
MOD_ATTRIBUTE_SCIENTIFIC_01_A,+1Science Science per Age on the Palace and City Halls.
MOD_ATTRIBUTE_SCIENTIFIC_02,+15% Production towards constructing Buildings.
MOD_ATTRIBUTE_SCIENTIFIC_03,+25% Science towards researching Tech Masteries.
MOD_ATTRIBUTE_SCIENTIFIC_04,+20% Gold and Happiness towards maintaining Buildings.
MOD_ATTRIBUTE_SCIENTIFIC_05,+1 Science in Settlements for each Resource assigned to them.
MOD_ATTRIBUTE_SCIENTIFIC_06,+1 Science on each Quarter.
MOD_ATTRIBUTE_SCIENTIFIC_07_A,"+1 Science on Specialists, or +2 if you have 3 or fewer Cities."
MOD_ATTRIBUTE_SCIENTIFIC_08,+10Science Science per Age for every Alliance you have.
MOD_ATTRIBUTE_SCIENTIFIC_09_A,"+1 Science per Age in Towns, or +2 in Distant Lands."
MOD_ATTRIBUTE_SCIENTIFIC_10,+5 Science per Age. Repeatable.
MOD_ATTRIBUTE_SCIENTIFIC_LEGEND_ADA_LOVELACE_L1,"Legend Unlock. +1 to the adjacencies of standard GoldGold, ProductionProduction, and ScienceScience Buildings."
MOD_ATTRIBUTE_SCIENTIFIC_LEGEND_BENJAMIN_FRANKLIN_L2_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_SCIENTIFIC_LEGEND_BENJAMIN_FRANKLIN_L2_DESCRIPTION_BASE}
MOD_ATTRIBUTE_SCIENTIFIC_LEGEND_CATHERINE_L2_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_SCIENTIFIC_LEGEND_CATHERINE_L2_DESCRIPTION_BASE}
MOD_ATTRIBUTE_SCIENTIFIC_LEGEND_CHARLEMAGNE_L2_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_SCIENTIFIC_LEGEND_CHARLEMAGNE_L2_DESCRIPTION_BASE}
MOD_ATTRIBUTE_SCIENTIFIC_LEGEND_CONFUCIUS_L2_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_SCIENTIFIC_LEGEND_CONFUCIUS_L2_DESCRIPTION_BASE}
MOD_ATTRIBUTE_SCIENTIFIC_LEGEND_FRIEDRICH_L2_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_SCIENTIFIC_LEGEND_FRIEDRICH_L2_DESCRIPTION_BASE}
MOD_ATTRIBUTE_SCIENTIFIC_LEGEND_HIMIKO_L2_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_SCIENTIFIC_LEGEND_HIMIKO_L2_DESCRIPTION_BASE}
MOD_ATTRIBUTE_SCIENTIFIC_LEGEND_TRUNG_TRAC_L2_01,{LOC_MOD_ATTRIBUTE_LEGEND_UNLOCK} {LOC_MOD_ATTRIBUTE_SCIENTIFIC_LEGEND_TRUNG_TRAC_L2_DESCRIPTION_BASE}
MOD_CIVIC_AQ_ATTRIBUTE_EXPANSIONIST_SETTLEMENT_CAP_INCREASE,+1 Settlement Limit.
MOD_CIVIC_AQ_ATTRIBUTE_EXPANSIONIST_SPECIALIST_CAP_INCREASE,+1 Specialist Limit in the Capital for this Age.
MOD_CIVIC_AQ_ATTRIBUTE_MILITARISTIC_EXPANSIONIST_SETTLEMENT_CAP_INCREASE,+2 Settlement Limit.
MOD_CIVIC_EX_ATTRIBUTE_EXPANSIONIST_SETTLEMENT_CAP_INCREASE,+1 Settlement Limit.
MOD_CIVIC_EX_ATTRIBUTE_EXPANSIONIST_SPECIALIST_CAP_INCREASE,+1 Specialist Limit in the Capital for this Age.
MOD_CIVIC_MO_ATTRIBUTE_EXPANSIONIST_SETTLEMENT_CAP_INCREASE,+1 Settlement Limit.
MOD_CIVIC_MO_ATTRIBUTE_EXPANSIONIST_SPECIALIST_CAP_INCREASE,+1 Specialist Limit in the Capital for this Age.
MOD_CIVIC_MO_ATTRIBUTE_MILITARISTIC_EXPANSIONIST_SETTLEMENT_CAP_INCREASE,+2 Settlement Limit.
MOD_CIV_QAJAR_DIPLOMACY,+25% Influence towards supporting or rejecting Diplomatic Actions.
MOD_CODE_OF_LAWS_REVEAL_CIV_CULTURE_TREE,Unlocks Civilization Unique Civics Tree.
MOD_COMMUNISM_AT_GUNS,+3 Ranged Units in your Capital.
MOD_COMMUNISM_EXPANSIONIST_ATTRIBUTE,Gain 1 Expansionist Attribute Point
MOD_COMMUNISM_SCIENTIFIC_ATTRIBUTE,Gain 1 Scientific Attribute Point
MOD_DEMOCRACY_CULTURAL_ATTRIBUTE,Gain 1 Cultural Attribute Point
MOD_DEMOCRACY_POLITICAL_ATTRIBUTE,Gain 1 Diplomatic Attribute Point
MOD_DEMOCRACY_RIFLEMEN,+4 Infantry Units in your Capital.
MOD_DISCIPLINE_FREE_COMMANDER,Gain a free Army Commander.
MOD_DROTTKVAETT_COASTAL_RAID_CULTURE,Coastal Raiding and Pillaging with Naval Units grants Culture equal to 50% of Pillage Yields and Healing.
MOD_EX_FUTURE_CIVIC_AGE_PROGRESS,+10 Age Progress.
MOD_EX_FUTURE_CIVIC_ATTRIBUTE,+1 Random Attribute Point.
MOD_EX_FUTURE_CIVIC_BOOST,A boost for a non-Civilization unique starting Civic in the next Age.
MOD_EX_FUTURE_CIVIC_CULTURE_VP,Grants 7 Tourism
MOD_EX_FUTURE_TECH_AGE_PROGRESS,+10 Age Progress.
MOD_EX_FUTURE_TECH_ATTRIBUTE,+1 Random Attribute Point.
MOD_EX_FUTURE_TECH_BOOST,A boost for a starting Technology in the next Age.
MOD_EX_FUTURE_TECH_SCIENCE_VP,Grants 3 Innovation
MOD_EX_RELIC,Gain 1 Relic.
MOD_EX_RELIC_REDUX,Gain 1 Relic.
MOD_EX_RESOURCE_INSTANCE_COUNT_IMPERIALISM,Tea and Spices Resources are worth +1 Cargo for Treasure Convoys.
MOD_EX_RESOURCE_INSTANCE_COUNT_SOCIAL_CLASS,Furs and Cocoa Resources are worth +1 Cargo for Treasure Convoys.
MOD_EX_SETTLEMENT_CAP_INCREASE,+1 Settlement Limit.
MOD_EX_SETTLEMENT_CAP_INCREASE_MORE,+2 Settlement Limit.
MOD_EX_SOCIAL_CLASS_SCIENCE_VP,Grants 2 Innovation.
MOD_EX_SPECIALIST_CAP_INCREASE,+1 Specialist Limit in all Cities.
MOD_EX_TECH_CAVALRY_STRENGTH,+3 Combat Strength for Cavalry Units.
MOD_EX_TECH_CULTURE_BUILDING,+1 Culture on Culture Buildings.
MOD_EX_TECH_FOOD_BUILDING,+1 Food on Food Buildings.
MOD_EX_TECH_GOLD_BUILDING,+1 Gold on Gold Buildings.
MOD_EX_TECH_HAPPINESS_BUILDING,+1 Happiness on Happiness Buildings.
MOD_EX_TECH_INFANTRY_STRENGTH,+3 Combat Strength for Infantry Units.
MOD_EX_TECH_MILITARY_BUILDING,+2 Production on Military Buildings.
MOD_EX_TECH_NAVAL_STRENGTH,+3 Combat Strength for Naval Units.
MOD_EX_TECH_PRODUCTION_BUILDING,+1Production Production on Production Buildings.
MOD_EX_TECH_RANGED_STRENGTH,+3 Combat Strength for Ranged and Siege Units.
MOD_EX_TECH_SCIENCE_BUILDING,+1 Science on Science Buildings.
MOD_EX_TECH_WALL_STRENGTH,+3 Combat Strength for Fortified Districts.
MOD_EX_TRADITION_SLOT,+1 Social Policy slot.
MOD_FASCISM_ECONOMIC_ATTRIBUTE,Gain 1 Economic Attribute Point
MOD_FASCISM_LANDSHIP,+3 Cavalry Units in your Capital.
MOD_FASCISM_MILITARISTIC_ATTRIBUTE,Gain 1 Militaristic Attribute Point
MOD_GIFT_GURKHA,Unlocks the Gift Gurkha Action which grants a Gurkha Unit to another Civilization. Nepal receives a +10 Relationship with them and 5 Culture (Scales by Gamespeed) for the current Relationship Level with them. Can only be done with Friendly or Helpful Civilizations.
MOD_HE_E_NALU_TWO_RELICS,+2 Relics.
MOD_KANTA_AUTO_TREASURE_FLEET,Cities in Homelands on Navigable Rivers generate Treasure Convoys worth 2 Cargo each.
MOD_LEGACY_AQ_EXPANSIONIST_5,+1 Food on Breathtaking tiles.
MOD_LEGACY_EX_EXPANSIONIST_4,+1 Food on Breathtaking tiles.
MOD_LEGACY_MO_ECONOMIC_1,Score 500 GDP by assigning Factory Resources.
MOD_LYFSTEINN_HEAL_NAVAL,+10 Healing for Naval Units outside friendly territory.
MOD_MEXICO_ORIGINS_GOLDEN_AGE,"Unlock an additional Celebration effect, +50% Growth Rate in the Capital for 10 Turns."
MOD_MEXICO_RENAISSANCE_GOLDEN_AGE,"Unlock an additional Celebration effect, +100% Production towards training and Gold towards purchasing Missionaries and +2 Charges and Movement for Missionaries for 10 Turns."
MOD_MO_ARTIFACT,Gain 1 Artifact.
MOD_MO_CAPITALISM_RESOURCE_VP,+4 GDP per turn on worked Coal and Oil Resources.
MOD_MO_CAPITALISM_TOURISM_VP,+10 Tourism for each player you have started at least 2 Trade Routes with.
MOD_MO_EXPLORER_SIGHT,+1 Sight for Explorers.
MOD_MO_FACTORY_RESOURCE_GDP,+3 GDP per turn for Slotted Factory Resources.
MOD_MO_FUTURE_CIVIC_AGE_PROGRESS,+10 Age Progress.
MOD_MO_FUTURE_CIVIC_ATTRIBUTE,+1 Random Attribute Point.
MOD_MO_FUTURE_CIVIC_CULTURE_VP,Grants 10 Tourism
MOD_MO_FUTURE_TECH_AGE_PROGRESS,+10 Age Progress.
MOD_MO_FUTURE_TECH_ATTRIBUTE,+1 Random Attribute Point.
MOD_MO_FUTURE_TECH_SCIENCE_VP,Grants 3 Innovation
MOD_MO_MILITARISM_GDP,+6 GDP per turn for each conquered Settlement.
MOD_MO_NATURAL_WONDER_ARCHAEOLOGY,Explorers can use the Excavate Artifacts action on or adjacent to Natural Wonders. Each player can do this once per Natural Wonder.
MOD_MO_NATURAL_WONDER_ARCHAEOLOGY_REDUX,Explorers can use the Excavate Artifacts action on or adjacent to Natural Wonders. Each player can do this once per Natural Wonder.
MOD_MO_OPEN_ANTIQUITY_ARCHAEOLOGY,Explorers can Research Artifacts buried since the Antiquity Age. Gain a free Artifact when Researching Artifacts.
MOD_MO_OPEN_EXPLORATION_ARCHAEOLOGY,Explorers can Research Artifacts buried since the Exploration Age.
MOD_MO_RESORT_TOWN_VP,+4 Tourism on improved Breathtaking tiles in Resort Towns when you have at least 7 improved Breathtaking tiles.
MOD_MO_SETTLEMENT_CAP_INCREASE,+1 Settlement Limit.
MOD_MO_SPECIALIST_CAP_INCREASE,+1 Specialist Limit in all Cities.
MOD_MO_TECH_AIRCRAFT_STRENGTH,+3 Combat Strength for Air Units.
MOD_MO_TECH_CAVALRY_STRENGTH,+3 Combat Strength for Cavalry Units.
MOD_MO_TECH_CULTURE_BUILDING,+1 Culture on Culture Buildings.
MOD_MO_TECH_FOOD_BUILDING,+1 Food on Food Buildings.
MOD_MO_TECH_GOLD_BUILDING,+1 Gold on Gold Buildings.
