bonus_type,city_state_type,age,name,description_raw,description_clean,shareable
CITY_STATE_BONUS_EXPLORATION_3,MILITARISTIC,AGE_EXPLORATION,Longbow,+1 [icon:Action_Ranged]Ranged Combat Strength to Ranged and Siege Units for every [icon:CITYSTATE]Militaristic [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+1 Ranged Combat Strength to Ranged and Siege Units for every Militaristic City-State you are Suzerain of.,0
CITY_STATE_BONUS_EXPLORATION_4,MILITARISTIC,AGE_EXPLORATION,Corsair,Allows the training of the Corsair Naval Unit. The [icon:UNIT_CORSAIR]Corsair captures opposing Units but must be purchased and costs more maintenance.,Allows the training of the Corsair Naval Unit. The Corsair captures opposing Units but must be purchased and costs more maintenance.,0
CITY_STATE_BONUS_EXPLORATION_5,MILITARISTIC,AGE_EXPLORATION,Free Companies,+1 [icon:NAR_REW_COMBAT]Combat Strength to Infantry and Naval Units for every [icon:CITYSTATE]Militaristic [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+1 Combat Strength to Infantry and Naval Units for every Militaristic City-State you are Suzerain of.,0
CITY_STATE_MILITARISTIC_BONUS_EXPLORATION_6,MILITARISTIC,AGE_EXPLORATION,Staked Claims,+1 [icon:SETTLEMENT_LIMIT]Settlement Limit.,+1 Settlement Limit.,0
CITY_STATE_MILITARISTIC_BONUS_EXPLORATION_7,MILITARISTIC,AGE_EXPLORATION,Casus Belli,+1 [icon:WAR_SUPPORT]War Support. This bonus can be chosen by multiple Civilizations.,+1 War Support. This bonus can be chosen by multiple Civilizations.,1
CITY_STATE_BONUS_EXPLORATION_16,SCIENTIFIC,AGE_EXPLORATION,Monastery,"Allows the construction of the Monastery Unique Improvement. [n]The Monastery provides +4[icon:YIELD_SCIENCE] Science. +3[icon:YIELD_HAPPINESS] Happiness if this Settlement follows your [icon:NAR_REW_RELIGION]Religion. Must be placed on an existing Improvement, and cannot be placed adjacent to a District.","Allows the construction of the Monastery Unique Improvement. The Monastery provides +4 Science. +3 Happiness if this Settlement follows your Religion. Must be placed on an existing Improvement, and cannot be placed adjacent to a District.",0
CITY_STATE_BONUS_EXPLORATION_17,SCIENTIFIC,AGE_EXPLORATION,Free Inquiry,+2[icon:YIELD_SCIENCE] Science on [icon:YIELD_SCIENCE]Science Buildings.,+2 Science on Science Buildings.,0
CITY_STATE_BONUS_EXPLORATION_18,SCIENTIFIC,AGE_EXPLORATION,Natural Law,+5%[icon:YIELD_PRODUCTION] Production towards constructing [icon:CITY_BUILDING_LIST] Buildings for every [icon:CITYSTATE]Scientific [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+5% Production towards constructing Buildings for every Scientific City-State you are Suzerain of.,0
CITY_STATE_BONUS_EXPLORATION_19,SCIENTIFIC,AGE_EXPLORATION,Eureka!,"Receive a [icon:YIELD_POPULATION]Population in your [icon:NOTIFICATION_SELECT_CAPITAL] Capital when you become [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of a [icon:CITYSTATE]Scientific [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP], including this one.","Receive a Population in your Capital when you become Suzerain of a Scientific City-State, including this one.",0
CITY_STATE_BONUS_EXPLORATION_20,SCIENTIFIC,AGE_EXPLORATION,Reichskreise,Receive a free [icon:RADIAL_TECH] Technology.,Receive a free Technology.,0
CITY_STATE_SCIENTIFIC_BONUS_EXPLORATION_6,SCIENTIFIC,AGE_EXPLORATION,Master Tradesmen,+1 [icon:YIELD_SCIENCE]Science on [icon:SPECIALIST]Specialists.,+1 Science on Specialists.,0
CITY_STATE_SCIENTIFIC_BONUS_EXPLORATION_7,SCIENTIFIC,AGE_EXPLORATION,Apprenticeship,"+1 [icon:YIELD_SCIENCE]Science on Brickyards, Harbors, and Stonecutters. This bonus can be chosen by multiple Civilizations.","+1 Science on Brickyards, Harbors, and Stonecutters. This bonus can be chosen by multiple Civilizations.",1
CITY_STATE_BONUS_MODERN_10,CULTURAL,AGE_MODERN,Ethnology,Receive a free [icon:RADIAL_CIVICS] Civic.,Receive a free Civic.,0
CITY_STATE_BONUS_MODERN_6,CULTURAL,AGE_MODERN,Open-Air Museum,"Allows the construction of the Open-Air Museum Unique Improvement. [n]The Open-Air Museum provides +5[icon:YIELD_CULTURE] Culture. +2[icon:YIELD_SCIENCE] Science for each adjacent Tropical Terrain, +2[icon:YIELD_CULTURE] Culture for each adjacent Tundra Terrain, and +2[icon:YIELD_GOLD] Gold for each adjacent Desert tile. Must be placed on an existing Improvement. One Per Settlement.","Allows the construction of the Open-Air Museum Unique Improvement. The Open-Air Museum provides +5 Culture. +2 Science for each adjacent Tropical Terrain, +2 Culture for each adjacent Tundra Terrain, and +2 Gold for each adjacent Desert tile. Must be placed on an existing Improvement. One Per Settlement.",0
CITY_STATE_BONUS_MODERN_7,CULTURAL,AGE_MODERN,Monthon,+2 [icon:YIELD_CULTURE]Culture on [icon:YIELD_CULTURE]Culture Buildings.,+2 Culture on Culture Buildings.,0
CITY_STATE_BONUS_MODERN_8,CULTURAL,AGE_MODERN,Antiquarianism,+2 [icon:YIELD_CULTURE]Culture on Museums for each [icon:CITYSTATE]Cultural [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of. Receive 1 [icon:NAR_REW_GREATWORK]Artifact.,+2 Culture on Museums for each Cultural City-State you are Suzerain of. Receive 1 Artifact.,0
CITY_STATE_BONUS_MODERN_9,CULTURAL,AGE_MODERN,Commonwealth,+1 [icon:NAR_REW_TRADITION_SLOT]Social Policy slot.,+1 Social Policy slot.,0
CITY_STATE_CULTURAL_BONUS_MODERN_6,CULTURAL,AGE_MODERN,Touring Exhibits,+4 [icon:YIELD_CULTURE]Culture on displayed [icon:NAR_REW_GREATWORK]Artifacts.,+4 Culture on displayed Artifacts.,0
CITY_STATE_CULTURAL_BONUS_MODERN_7,CULTURAL,AGE_MODERN,Textile Industry,"+1 [icon:YIELD_CULTURE]Culture on Saw Pits, Fishing Quays, Stonecutters, and Grocers. This bonus can be chosen by multiple Civilizations.","+1 Culture on Saw Pits, Fishing Quays, Stonecutters, and Grocers. This bonus can be chosen by multiple Civilizations.",1
CITY_STATE_DIPLOMATIC_BONUS_MODERN_1,DIPLOMATIC,AGE_MODERN,Circus Fair,Allows the creation of the Circus Fair improvement. [n]The Circus Fair provides +6 [icon:YIELD_HAPPINESS]Happiness. Provides +1 [icon:YIELD_DIPLOMACY]Influence when built in [icon:YIELD_CITIES]Cities. Must be placed on an existing Improvement in Settlements with at least 15 [icon:YIELD_POPULATION]Population. One per Settlement.,Allows the creation of the Circus Fair improvement. The Circus Fair provides +6 Happiness. Provides +1 Influence when built in Cities. Must be placed on an existing Improvement in Settlements with at least 15 Population. One per Settlement.,0
CITY_STATE_DIPLOMATIC_BONUS_MODERN_2,DIPLOMATIC,AGE_MODERN,Ideological Revolt,"Gain the [icon:ESPIONAGE]Ideological Revolt Espionage action. Targets one [icon:YIELD_CITIES]City of a Civ with an [icon:NAR_REW_IDEOLOGY]Ideology. On completion, pillage up to 4 [icon:CITY_BUILDING_LIST] Buildings in that City.","Gain the Ideological Revolt Espionage action. Targets one City of a Civ with an Ideology. On completion, pillage up to 4 Buildings in that City.",0
CITY_STATE_DIPLOMATIC_BONUS_MODERN_3,DIPLOMATIC,AGE_MODERN,Fair Wages,+2 [icon:YIELD_HAPPINESS]Happiness on [icon:YIELD_HAPPINESS]Happiness Buildings.,+2 Happiness on Happiness Buildings.,0
CITY_STATE_DIPLOMATIC_BONUS_MODERN_4,DIPLOMATIC,AGE_MODERN,Plenipotentiaries,+20% [icon:YIELD_DIPLOMACY]Influence towards starting and supporting [icon:ENDEAVOR]Endeavors and [icon:SANCTIONS]Sanctions for each [icon:CITYSTATE]Diplomatic [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+20% Influence towards starting and supporting Endeavors and Sanctions for each Diplomatic City-State you are Suzerain of.,0
CITY_STATE_DIPLOMATIC_BONUS_MODERN_5,DIPLOMATIC,AGE_MODERN,Cabinet Noir,+20% [icon:YIELD_DIPLOMACY]Influence towards starting [icon:ESPIONAGE]Espionage Actions for each [icon:CITYSTATE]Diplomatic [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of. They complete 25% faster.,+20% Influence towards starting Espionage Actions for each Diplomatic City-State you are Suzerain of. They complete 25% faster.,0
CITY_STATE_DIPLOMATIC_BONUS_MODERN_6,DIPLOMATIC,AGE_MODERN,Secret Ballot,+1 [icon:NAR_REW_TRADITION_SLOT]Social Policy Slot.,+1 Social Policy Slot.,0
CITY_STATE_DIPLOMATIC_BONUS_MODERN_7,DIPLOMATIC,AGE_MODERN,Public Infrastructure,"+1 [icon:YIELD_HAPPINESS]Happiness on Granaries, Brickyards, Gristmills, and Grocers. This bonus can be chosen by multiple Civilizations","+1 Happiness on Granaries, Brickyards, Gristmills, and Grocers. This bonus can be chosen by multiple Civilizations",1
CITY_STATE_BONUS_MODERN_11,ECONOMIC,AGE_MODERN,Entrepôt,Allows the construction of the Entrepôt Unique Improvement. [n]The Entrepôt provides +5[icon:YIELD_GOLD] Gold. +1[icon:YIELD_GOLD] Gold on every Navigable River tile in this Settlement. Must be placed on an existing Improvement on a Navigable River not adjacent to another Entrepôt.,Allows the construction of the Entrepôt Unique Improvement. The Entrepôt provides +5 Gold. +1 Gold on every Navigable River tile in this Settlement. Must be placed on an existing Improvement on a Navigable River not adjacent to another Entrepôt.,0
CITY_STATE_BONUS_MODERN_12,ECONOMIC,AGE_MODERN,Kolkhoz,+4[icon:YIELD_GOLD] Gold on [icon:YIELD_GOLD]Gold Buildings.,+4 Gold on Gold Buildings.,0
CITY_STATE_BONUS_MODERN_13,ECONOMIC,AGE_MODERN,Rare Metals,Receive the Nickel [icon:RADIAL_RESOURCES] Resource in the [icon:NOTIFICATION_SELECT_CAPITAL] Capital. Nickel provides +10%[icon:YIELD_SCIENCE] Science and +10%[icon:YIELD_GOLD] Gold.,Receive the Nickel Resource in the Capital. Nickel provides +10% Science and +10% Gold.,0
CITY_STATE_BONUS_MODERN_14,ECONOMIC,AGE_MODERN,Branch Office,+3 [icon:YIELD_GOLD]Gold for each active [icon:TRADE_ROUTE]Trade Route for each [icon:CITYSTATE]Economic [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+3 Gold for each active Trade Route for each Economic City-State you are Suzerain of.,0
CITY_STATE_BONUS_MODERN_15,ECONOMIC,AGE_MODERN,Shipping Lanes,You have no maximum Range on [icon:TRADE_ROUTE]Trade Routes.,You have no maximum Range on Trade Routes.,0
CITY_STATE_ECONOMIC_BONUS_MODERN_6,ECONOMIC,AGE_MODERN,Factory System,+1 [icon:RADIAL_RESOURCES] Resource Capacity in Settlements with a Factory.,+1 Resource Capacity in Settlements with a Factory.,0
CITY_STATE_ECONOMIC_BONUS_MODERN_7,ECONOMIC,AGE_MODERN,Entrepreneurship,"+1 [icon:YIELD_GOLD]Gold on Saw Pits, Harbors, Sawmills, and Ironworks. This bonus can be chosen by multiple Civilizations.","+1 Gold on Saw Pits, Harbors, Sawmills, and Ironworks. This bonus can be chosen by multiple Civilizations.",1
CITY_STATE_EXPANSIONIST_BONUS_MODERN_1,EXPANSIONIST,AGE_MODERN,Abattoir,Allows the creation of the Abattoir improvement. [n]The Abattoir provides +5 [icon:YIELD_FOOD]Food. +1[icon:YIELD_FOOD]Food and -1[icon:YIELD_HAPPINESS]Happiness for each Abattoir in this Settlement. Must be placed on an existing Improvement on a tile with a [icon:YIELD_FOOD]Food Yield. Cannot be placed adjacent to another Abattoir.,Allows the creation of the Abattoir improvement. The Abattoir provides +5 Food. +1Food and -1Happiness for each Abattoir in this Settlement. Must be placed on an existing Improvement on a tile with a Food Yield. Cannot be placed adjacent to another Abattoir.,0
CITY_STATE_EXPANSIONIST_BONUS_MODERN_2,EXPANSIONIST,AGE_MODERN,Balance Plough,+1 [icon:YIELD_FOOD]Food on [icon:RADIAL_RESOURCES] Resources.,+1 Food on Resources.,0
CITY_STATE_EXPANSIONIST_BONUS_MODERN_3,EXPANSIONIST,AGE_MODERN,Four-Field Rotation,+4 [icon:YIELD_FOOD]Food on [icon:YIELD_FOOD]Food Buildings.,+4 Food on Food Buildings.,0
CITY_STATE_EXPANSIONIST_BONUS_MODERN_4,EXPANSIONIST,AGE_MODERN,Zymurgy,+3 [icon:YIELD_FOOD]Food in Settlements for each [icon:CITYSTATE]Expansionist [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of. Doubled in [icon:YIELD_TOWNS]Towns.,+3 Food in Settlements for each Expansionist City-State you are Suzerain of. Doubled in Towns.,0
CITY_STATE_EXPANSIONIST_BONUS_MODERN_5,EXPANSIONIST,AGE_MODERN,Diplomatic Immunity,"Receive a [icon:YIELD_POPULATION]Population in your [icon:NOTIFICATION_SELECT_CAPITAL] Capital when you become [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of an [icon:CITYSTATE]Expansionist [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP], including this one.","Receive a Population in your Capital when you become Suzerain of an Expansionist City-State, including this one.",0
CITY_STATE_EXPANSIONIST_BONUS_MODERN_6,EXPANSIONIST,AGE_MODERN,Annexation,+1 [icon:SETTLEMENT_LIMIT]Settlement Limit.,+1 Settlement Limit.,0
CITY_STATE_EXPANSIONIST_BONUS_MODERN_7,EXPANSIONIST,AGE_MODERN,Cold Chain,"+1 [icon:YIELD_FOOD]Food on Granaries, Brickyards, Gristmills, and Grocers. This bonus can be chosen by multiple Civilizations","+1 Food on Granaries, Brickyards, Gristmills, and Grocers. This bonus can be chosen by multiple Civilizations",1
CITY_STATE_BONUS_MODERN_1,MILITARISTIC,AGE_MODERN,Shore Battery,"Allows the construction of the Shore Battery Unique Improvement. [n]The Shore Battery provides +5[icon:YIELD_PRODUCTION] Production. +3 [icon:Action_Ranged]Ranged Combat Strength, +1 Range to Ranged and Siege Units in this tile. +5 [icon:Action_Heal]Healing per turn to Military Units in this tile. Counts as a Fortification, +6 [icon:NAR_REW_COMBAT]Combat Strength when defending. Must be placed on an existing Improvement adjacent to Coast.","Allows the construction of the Shore Battery Unique Improvement. The Shore Battery provides +5 Production. +3 Ranged Combat Strength, +1 Range to Ranged and Siege Units in this tile. +5 Healing per turn to Military Units in this tile. Counts as a Fortification, +6 Combat Strength when defending. Must be placed on an existing Improvement adjacent to Coast.",0
CITY_STATE_BONUS_MODERN_2,MILITARISTIC,AGE_MODERN,Ideological Warfare,[icon:UNIT_ARMY_COMMANDER]Commanders earn double experience.,Commanders earn double experience.,0
CITY_STATE_BONUS_MODERN_3,MILITARISTIC,AGE_MODERN,Artillery Master,+1 [icon:Action_Ranged]Ranged Combat Strength to Ranged and Siege Units for every [icon:CITYSTATE]Militaristic [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+1 Ranged Combat Strength to Ranged and Siege Units for every Militaristic City-State you are Suzerain of.,0
CITY_STATE_BONUS_MODERN_4,MILITARISTIC,AGE_MODERN,Partisan,Allows the training of the [icon:UNIT_PARTISAN]Partisan Land Unit. Each Partisan is slightly more expensive than the last to train. It has +5 [icon:NAR_REW_COMBAT]Combat Strength against Civilizations with a different [icon:NAR_REW_IDEOLOGY]Ideology and +10 [icon:Action_Heal]Healing in owned territory.,Allows the training of the Partisan Land Unit. Each Partisan is slightly more expensive than the last to train. It has +5 Combat Strength against Civilizations with a different Ideology and +10 Healing in owned territory.,0
CITY_STATE_BONUS_MODERN_5,MILITARISTIC,AGE_MODERN,United Front,+1 [icon:NAR_REW_COMBAT]Combat Strength to Infantry and Naval Units for every [icon:CITYSTATE]Militaristic [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+1 Combat Strength to Infantry and Naval Units for every Militaristic City-State you are Suzerain of.,0
CITY_STATE_MILITARISTIC_BONUS_MODERN_6,MILITARISTIC,AGE_MODERN,Dependent Territories,+1 [icon:SETTLEMENT_LIMIT]Settlement Limit.,+1 Settlement Limit.,0
CITY_STATE_MILITARISTIC_BONUS_MODERN_7,MILITARISTIC,AGE_MODERN,Home Front,+1 [icon:WAR_SUPPORT]War Support. This bonus can be chosen by multiple Civilizations.,+1 War Support. This bonus can be chosen by multiple Civilizations.,1
CITY_STATE_BONUS_MODERN_16,SCIENTIFIC,AGE_MODERN,Institute,Allows the construction of the Institute Unique Improvement. [n]The Institute provides +5[icon:YIELD_SCIENCE] Science. +2[icon:YIELD_SCIENCE] Science on adjacent Wet or Vegetated Terrain. Must be placed on an existing Improvement. Cannot be Adjacent to another Institute.,Allows the construction of the Institute Unique Improvement. The Institute provides +5 Science. +2 Science on adjacent Wet or Vegetated Terrain. Must be placed on an existing Improvement. Cannot be Adjacent to another Institute.,0
CITY_STATE_BONUS_MODERN_17,SCIENTIFIC,AGE_MODERN,Artisan's League,+2[icon:YIELD_SCIENCE] Science on [icon:YIELD_SCIENCE]Science Buildings.,+2 Science on Science Buildings.,0
CITY_STATE_BONUS_MODERN_18,SCIENTIFIC,AGE_MODERN,Scholarly Network,+5%[icon:YIELD_PRODUCTION] towards constructing [icon:CITY_BUILDING_LIST] Buildings for every [icon:CITYSTATE]Scientific [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+5% towards constructing Buildings for every Scientific City-State you are Suzerain of.,0
CITY_STATE_BONUS_MODERN_19,SCIENTIFIC,AGE_MODERN,Anthropology,Receive a free [icon:RADIAL_TECH] Technology.,Receive a free Technology.,0
CITY_STATE_BONUS_MODERN_20,SCIENTIFIC,AGE_MODERN,Professional Architects,+25%[icon:YIELD_PRODUCTION] Production towards completing [icon:DEFAULT_PROJECT]Projects in [icon:YIELD_CITIES]Cities with a [icon:YIELD_SCIENCE]Science Building.,+25% Production towards completing Projects in Cities with a Science Building.,0
CITY_STATE_SCIENTIFIC_BONUS_MODERN_6,SCIENTIFIC,AGE_MODERN,Refineries,+1 [icon:YIELD_SCIENCE]Science on [icon:RADIAL_RESOURCES] Factory Resources assigned to Settlements.,+1 Science on Factory Resources assigned to Settlements.,0
CITY_STATE_SCIENTIFIC_BONUS_MODERN_7,SCIENTIFIC,AGE_MODERN,Mechanization,"+1 [icon:YIELD_SCIENCE]Science on Brickyards, Harbors, Stonecutters, and Ironworks. This bonus can be chosen by multiple Civilizations.","+1 Science on Brickyards, Harbors, Stonecutters, and Ironworks. This bonus can be chosen by multiple Civilizations.",1
