kind,name,row_type,ability_or_tradition_name,age,description_clean,syncretism_options,modifier_type,modifier_args
civilization,Mississippian,Unique Ability,Goose Societies,Apex,"• All Buildings receive a +1 Food Adjacency for Resources.
• +10% Production towards constructing Buildings.
• +30% Production towards constructing the Monks Mound.","Hawai'i, Inca, Shawnee",TRAIT_MOD_GOOSE_SOCIETIES_TYPE; TRAIT_MOD_GOOSE_SOCIETIES_BUILDING_PRODUCTION_TYPE; MOD_CIV_WONDER_PRODUCTION_MISSISSIPPIAN_TYPE,ConstructibleAdjacency=GooseSocietiesWildcardResourceFood; ConstructibleClass=BUILDING; Percent=10; Tooltip=LOC_TRAIT_MISSISSIPPIAN_ABILITY_NAME; Percent=30
civilization,Mississippian,Self-Syncretism Tradition,Sacrificial Effigies I,Exploration,Ranged Units apply the Burning status to tiles for 2 turns when attacking.,,,MOD_UNLOCK_MISSISSIPPIAN_SYNCRETISM_EXPLORATION
civilization,Mississippian,Self-Syncretism Tradition,Sacrificial Effigies II,Modern,Ranged Units apply the Burning status to tiles for 2 turns when attacking. +50 Gold per Resource on Trade Route creation. Scales by Gamespeed.,,,MOD_UNLOCK_MISSISSIPPIAN_SYNCRETISM_MODERN
civilization,Mongolia,Unique Ability,Bokh,Apex,"• When you capture an opposing Settlement gain the strongest Cavalry Unit you can currently train.
• -50% Production towards training Settlers.
• +30% Production towards constructing Erdene Zuu.","Qing, Russia",TRAIT_MOD_CONQUER_UNIT_TYPE; TRAIT_MOD_EXPENSIVE_SETTLER_TYPE,UnitTag=UNIT_CLASS_CAVALRY; Percent=-50; UnitType=UNIT_SETTLER
civilization,Mongolia,Self-Syncretism Tradition,Jarugachi I,Antiquity,"+1 Influence and Production on Horse Resources, doubled in Captured Settlements from any Age.",,,MOD_UNLOCK_MONGOLIA_SYNCRETISM_ANTIQUITY
civilization,Mongolia,Self-Syncretism Tradition,Jarugachi II,Modern,"+2 Influence and Production on Horse Resources, doubled in Captured Settlements from any Age. +50% Combat Strength from Flanking for Cavalry Units.",,,MOD_UNLOCK_MONGOLIA_SYNCRETISM_MODERN
civilization,Mughal,Unique Ability,Paradise of Nations,Apex,"• +100% Gold yields.
• -25% to all other yields except Food.
• You can purchase Wonders with Gold, but they are 150% more expensive.
• +30% Production towards constructing the Red Fort.",,TRAIT_MOD_PARADISE_OF_NATIONS_GOLD_TYPE; TRAIT_MOD_PARADISE_OF_NATIONS_CITY_YIELD_PENALTY_TYPE; TRAIT_MOD_PARADISE_OF_NATIONS_YIELD_PENALTY_TYPE; TRAIT_MOD_PARADISE_OF_NATIONS_WONDER_PURCHASE_ABILITY_TYPE,"YieldType=YIELD_GOLD; Percent=100; YieldType=YIELD_PRODUCTION; Percent=-25; Tooltip=LOC_TRAIT_MUGHAL_ABILITY_NAME; YieldType=YIELD_CULTURE,YIELD_HAPPINESS,YIELD_SCIENCE,YIELD_DIPLOMACY; Percent=-25; Tooltip=LOC_TRAIT_MUGHAL_ABILITY_NAME; ConstructibleClass=WONDER; Percent=-150"
civilization,Mughal,Self-Syncretism Tradition,Karkhanas I,Antiquity,"+1 Gold on Farms in Towns, Warehouse Bonus.",,,MOD_UNLOCK_MUGHAL_SYNCRETISM_ANTIQUITY
civilization,Mughal,Self-Syncretism Tradition,Karkhanas II,Exploration,"+2 Gold on Farms in Towns, Warehouse Bonus.",,,MOD_UNLOCK_MUGHAL_SYNCRETISM_EXPLORATION
civilization,Nepal,Unique Ability,Roof of the World,Apex,LOC_TRAIT_NEPAL_ABILITY_DESCRIPTION,,MOD_NEPAL_IMPROVE_MOUNTAINS_TYPE; MOD_NEPAL_MOUNTAIN_WAREHOUSES_TYPE; MOD_EXPENSIVE_WAREHOUSE_BUILDINGS_TYPE,"ConstructibleType=IMPROVEMENT_INCA_MOUNTAIN; ConstructibleWarehouseYield=NepalBrickyardMountainProduction, NepalFishingQuayMountainFood, NepalHarborMountainProduction, NepalGranaryMountainFood, NepalSawPitMountainProduction; Tag=WAREHOUSE; YieldType=YIELD_HAPPINESS, YIELD_GOLD; Amount=1, 1; Tooltip=LOC_TRAIT_NEPAL_ABILITY_NAME"
civilization,Nepal,Self-Syncretism Tradition,Kumar and Kumari I,Antiquity,+1 Culture on Warehouse Buildings. +1 Influence on Mountains.,,,MOD_UNLOCK_NEPAL_SYNCRETISM_ANTIQUITY
civilization,Nepal,Self-Syncretism Tradition,Kumar and Kumari II,Exploration,+2 Culture on Warehouse Buildings. +1 Influence on Mountains.,,,MOD_UNLOCK_NEPAL_SYNCRETISM_EXPLORATION
civilization,Norman,Unique Ability,Normannitas,Apex,"• +5 Combat Strength for Land Units and Fortified Districts adjacent to Coast.
• +25 HP on Fortified Districts.
• +30% Production towards constructing the White Tower.","America, French Empire, Great Britain, Prussia",TRAIT_MOD_ADJACENT_TO_COAST_COMBAT_TYPE; TRAIT_MOD_NORMANNITAS_DISTRICT_ADJACENT_TO_COAST_COMBAT_TYPE; TRAIT_MOD_NORMANNITAS_WALL_HEALTH_TYPE,ModifierId=ATTACH_TRAIT_MOD_ADJACENT_TO_COAST_COMBAT; Amount=5; Amount=25; Tooltip=LOC_TRAIT_NORMAN_ABILITY_NAME
civilization,Norman,Self-Syncretism Tradition,Sauveté I,Antiquity,"+1 Culture and Gold on Fortified Districts, doubled in Captured Settlements from any Age. +25 HP on Fortified Districts.",,,MOD_UNLOCK_NORMAN_SYNCRETISM_ANTIQUITY
civilization,Norman,Self-Syncretism Tradition,Sauveté II,Modern,"+2 Culture and Gold on Fortified Districts, doubled in Captured Settlements from any Age. +25 HP on Fortified Districts.",,,MOD_UNLOCK_NORMAN_SYNCRETISM_MODERN
civilization,Ottomans,Unique Ability,Devlet-i ʿAlīye-i ʿOsmānīye,Apex,LOC_TRAIT_OTTOMANS_ABILITY_DESCRIPTION,,MOD_CIV_OTTOMAN_GOLDEN_AGE_CODEX_TYPE; MOD_CIV_OTTOMAN_CONQUEST_GREATWORK_TYPE; MOD_CIV_OTTOMAN_COMBAT_TYPE,ObjectType=GREATWORKOBJECT_WRITING; Amount=1; Amount=1; ModifierId=MOD_CIV_OTTOMAN_COMBAT_MODIFIER
civilization,Ottomans,Self-Syncretism Tradition,Mehterân I,Antiquity,+5 Combat Strength for Siege Units. +1 Movement for Siege and Support Units.,,,MOD_UNLOCK_OTTOMANS_SYNCRETISM_ANTIQUITY
civilization,Ottomans,Self-Syncretism Tradition,Mehterân II,Exploration,+5 Combat Strength for Siege Units. +1 Movement for Siege and Support Units. Training a Siege Unit grants Happiness towards Celebrations equal to 50% of the Unit’s Production cost.,,,MOD_UNLOCK_OTTOMANS_SYNCRETISM_EXPLORATION
civilization,Prussia,Unique Ability,Blood and Iron,Apex,"• +1 Combat Strength for Military Units for every Unfriendly or Hostile Relationship with another Leader.
• You may establish and retain Trade Routes with Civilizations that you are at War with.
• +30% Production towards constructing Brandenburg Gate.",,TRAIT_MOD_BLOOD_AND_IRON_COMBAT_STRENGTH_TYPE; TRAIT_MOD_ZOLLVEREIN_TRADE_DURING_WAR_TYPE,"Amount=1; RelationshipTypes=PLAYER_RELATIONSHIP_HOSTILE, PLAYER_RELATIONSHIP_UNFRIENDLY; TradeDuringWar=true"
civilization,Prussia,Self-Syncretism Tradition,Tugenden I,Antiquity,+2 Science from active Sanctions you started.,,,MOD_UNLOCK_PRUSSIA_SYNCRETISM_ANTIQUITY
civilization,Prussia,Self-Syncretism Tradition,Tugenden II,Exploration,+3 Science from active Sanctions you started.,,,MOD_UNLOCK_PRUSSIA_SYNCRETISM_EXPLORATION
civilization,Qajar,Unique Ability,Kayānī Crown,Apex,"• +50% Influence toward supporting Diplomatic Actions.
• +10 Food and Production in the Capital for every Settlement under the Settlement Limit.
• +30% Production towards constructing Eram Garden.",,MOD_CIV_QAJAR_DIPLOMACY_TYPE; MOD_CIV_QAJAR_YIELDS_UNDER_SETTLEMENT_CAP_AQ_TYPE,"ResponseType=DIPLOMACY_RESPONSE_SUPPORT; Percent=50; ApplyToTarget=false; Amount=2; YieldType=YIELD_FOOD,YIELD_PRODUCTION"
civilization,Qajar,Self-Syncretism Tradition,Waqāye'-e Ettefāqiya I,Antiquity,+1 Influence in the Capital for every Settlement under the Settlement Limit.,,,MOD_UNLOCK_QAJAR_SYNCRETISM_ANTIQUITY
civilization,Qajar,Self-Syncretism Tradition,Waqāye'-e Ettefāqiya II,Exploration,+1 Happiness and Influence in the Capital for every Settlement under the Settlement Limit.,,,MOD_UNLOCK_QAJAR_SYNCRETISM_EXPLORATION
civilization,Qing,Unique Ability,Kang Qian Shengshi,Apex,"• +3 Gold and +3 Culture for every imported Resource, but -6 Science for every Trade Route.
• +1 GDP per turn for imported Resources assigned to Cities.
• +1 Combat Strength for Land Units for every other Civilization you have a Trade Route with.
• +30% Production towards constructing Chengde Mountain Resort.",,TRAIT_MOD_AQ_SHENGSHI_GOLD_PER_IMPORTED_RESOURCE_TYPE; TRAIT_MOD_AQ_SHENGSHI_CULTURE_PER_IMPORTED_RESOURCE_TYPE; TRAIT_MOD_AQ_SHENGSHI_SCIENCE_MALUS_PER_TRADE_ROUTE_TYPE; TRAIT_MOD_SHENGSHI_COMBAT_STRENGTH_TYPE,YieldType=YIELD_GOLD; Amount=1; Imported=true; Tooltip=LOC_TRAIT_QING_ABILITY_NAME; YieldType=YIELD_CULTURE; Amount=1; Imported=true; Tooltip=LOC_TRAIT_QING_ABILITY_NAME; YieldType=YIELD_SCIENCE; Amount=-2; Tooltip=LOC_TRAIT_QING_ABILITY_NAME; AbilityType=ABILITY_SHENGSHI
civilization,Qing,Self-Syncretism Tradition,Ethnic Stratification I,Antiquity,+2 Resource Capacity in the Capital.,,,MOD_UNLOCK_QING_SYNCRETISM_ANTIQUITY
civilization,Qing,Self-Syncretism Tradition,Ethnic Stratification II,Exploration,+2 Resource Capacity in Cities founded by you.,,,MOD_UNLOCK_QING_SYNCRETISM_EXPLORATION
civilization,Republic of Pirates,Unique Ability,Flying Gang,Apex,LOC_TRAIT_PIRATE_REPUBLIC_ABILITY_DESCRIPTION,"French Empire, Great Britain",MOD_CIV_PIRATE_REPUBLIC_CAPTURE_NAVAL_GDP_TYPE; MOD_CIV_NAVAL_UNITS_FOREIGN_TERRITORY_TYPE; MOD_CIV_PIRATE_REPUBLIC_DISABLE_SETTLERS_TYPE; MOD_CIV_PIRATE_REPUBLIC_CAPTURE_SETTLERS_TYPE,VictoryType=VICTORY_ECONOMIC_MODERN; Points=5; ItemName=LOC_TRAIT_PIRATE_REPUBLIC_ABILITY_NAME; TypeData=CIVILIZATION; Enter=true; UnitType=UNIT_SETTLER; PermanentlyDisabled=true; CapturesUnitWithTag=UNIT_CLASS_CREATE_TOWN
civilization,Republic of Pirates,Self-Syncretism Tradition,Brethren of the Coast I,Antiquity,+2 Production on Districts on or adjacent to Coast. -1 Happiness on Districts not on or adjacent to Coast.,,,MOD_UNLOCK_PIRATE_REPUBLIC_SYNCRETISM_ANTIQUITY
civilization,Republic of Pirates,Self-Syncretism Tradition,Brethren of the Coast II,Modern,+3 Production on Districts on or adjacent to Coast. -2 Happiness on Districts not on or adjacent to Coast.,,,MOD_UNLOCK_PIRATE_REPUBLIC_SYNCRETISM_MODERN
civilization,Rome,Unique Ability,Twelve Tables,Apex,"• +1 Culture on Districts in the Capital and City Centers in Towns.
• Gain a free Infantry Unit in new Towns that you found.
• +30% Production towards constructing the Colosseum.","America, French Empire, Great Britain, Iceland, Norman, Ottomans, Prussia, Spain",TRAIT_MOD_TWELVE_TABLES_CAPITAL_TYPE; TRAIT_MOD_TWELVE_TABLES_TOWNS_TYPE; TRAIT_MOD_TWELVE_TABLES_TOWN_INFANTRY_TYPE; MOD_CIV_WONDER_PRODUCTION_ROME_TYPE,ModifierId=ATTACH_MOD_TWELVE_TABLES_CAPITAL; ModifierId=ATTACH_MOD_TWELVE_TABLES_TOWNS; UnitTag=UNIT_CLASS_INFANTRY; Amount=1; AllowUniqueOverride=true; Percent=30
civilization,Rome,Self-Syncretism Tradition,Limitanei I,Exploration,+1 Combat Strength for Infantry Units for every Tradition slotted in the Government.,,,MOD_UNLOCK_ROME_SYNCRETISM_EXPLORATION
civilization,Rome,Self-Syncretism Tradition,Limitanei II,Modern,+1 Combat Strength for Infantry Units for every Tradition slotted in the Government. +3 Culture in the Capital for every Town.,,,MOD_UNLOCK_ROME_SYNCRETISM_MODERN
civilization,Russia,Unique Ability,Prosveshchenie,Apex,"• +1 Culture on Quarters in Cities. +1 Science on Quarters in Cities in Tundra.
• +1 Food on Farms in Towns. +1 Production on Farms in Towns in Tundra, count as Warehouse Bonus.
• +30% Production towards constructing the Hermitage.",,PROSVESHCHENIE_CITY_YIELDS_TYPE; PROSVESHCHENIE_TOWN_FOOD_TYPE; PROSVESHCHENIE_TOWN_PRODUCTION_TYPE,"ModifierId=PROSVESHCHENIE_CITY_CULTURE,PROSVESHCHENIE_CITY_SCIENCE; WarehouseYieldChange=Prosveshchenie_DesertFloodplainFeatureFood,Prosveshchenie_GrasslandFloodplainFeatureFood,Prosveshchenie_PlainsFloodplainFeatureFood,Prosveshchenie_TropicalFloodplainFeatureFood,Prosveshchenie_TundraFloodplainFeatureFood,Prosveshchenie_FlatTerrainFood; Tooltip=LOC_TRAIT_RUSSIA_ABILITY_NAME; WarehouseYieldChange=Prosveshchenie_DesertFloodplainFeatureProduction,Prosveshchenie_GrasslandFloodplainFeatureProduction,Prosveshchenie_PlainsFloodplainFeatureProduction,Prosveshchenie_TropicalFloodplainFeatureProduction,Prosveshchenie_TundraFloodplainFeatureProduction,Prosveshchenie_FlatTerrainProduction; Tooltip=LOC_TRAIT_RUSSIA_ABILITY_NAME"
civilization,Russia,Self-Syncretism Tradition,Skazki I,Antiquity,+2 Culture on Wonders. +2 Science on Wonders in Tundra.,,,MOD_UNLOCK_RUSSIA_SYNCRETISM_ANTIQUITY
civilization,Russia,Self-Syncretism Tradition,Skazki II,Exploration,+3 Culture on Wonders. +3 Science on Wonders in Tundra.,,,MOD_UNLOCK_RUSSIA_SYNCRETISM_EXPLORATION
civilization,Shawnee,Unique Ability,Nepekifaki,Apex,LOC_TRAIT_SHAWNEE_ABILITY_DESCRIPTION,"America, Mexico",MOD_SHAWNEE_RIVER_FOOD_TYPE,ModifierId=ATTACH_MOD_SHAWNEE_RIVER_FOOD
civilization,Shawnee,Self-Syncretism Tradition,Strategic Gifts I,Antiquity,+1 Influence in Cities adjacent to Navigable Rivers. +2 Gold per City-State you are Suzerain of.,,,MOD_UNLOCK_SHAWNEE_SYNCRETISM_ANTIQUITY
civilization,Shawnee,Self-Syncretism Tradition,Strategic Gifts II,Modern,+2 Influence in Cities adjacent to Navigable Rivers. +4 Gold per City-State you are Suzerain of.,,,MOD_UNLOCK_SHAWNEE_SYNCRETISM_MODERN
civilization,Siam,Unique Ability,Itsaraphab,Apex,"• Gains a unique Diplomatic Action to immediately become Suzerain of a City-State at a higher Influence cost than Befriend Independent.
• +3 Influence for every Civilization you are Friendly or Helpful with.
• +12 Tourism for every City-State you are Suzerain of.
• +30% Production towards constructing Doi Suthep.",,TRAIT_MOD_ITSARAPHAB_TYPE; TRAIT_MOD_ITSARAPHAB_AQ_INFLUENCE_FRIENDLY_TYPE; TRAIT_MOD_ITSARAPHAB_AQ_INFLUENCE_HELPFUL_TYPE,ActionType=DIPLOMACY_ACTION_BECOME_SUZERAIN; RelationshipType=PLAYER_RELATIONSHIP_FRIENDLY; YieldType=YIELD_DIPLOMACY; Amount=1; Tooltip=LOC_TRAIT_SIAM_ABILITY_NAME; RelationshipType=PLAYER_RELATIONSHIP_HELPFUL; YieldType=YIELD_DIPLOMACY; Amount=1; Tooltip=LOC_TRAIT_SIAM_ABILITY_NAME
civilization,Siam,Self-Syncretism Tradition,Chatusadom I,Antiquity,+1 Culture and Influence on the Palace for each City-State you are Suzerain of.,,,MOD_UNLOCK_SIAM_SYNCRETISM_ANTIQUITY
civilization,Siam,Self-Syncretism Tradition,Chatusadom II,Exploration,+2 Culture and Influence on the Palace for each City-State you are Suzerain of.,,,MOD_UNLOCK_SIAM_SYNCRETISM_EXPLORATION
civilization,Silla Korea,Unique Ability,Maripgan,Apex,LOC_TRAIT_SILLA_ABILITY_DESCRIPTION,Mongolia,MOD_SILLA_ALLIANCE_ROUTE_TYPE; MOD_SILLA_INFLUENCE_PER_TRADE_PARTNER_TYPE; MOD_CIV_WONDER_PRODUCTION_SILLA_TYPE,AllianceCapitalRoutes=true; CapitalRoutesAwardGold=true; YieldType=YIELD_DIPLOMACY; Amount=1; Percent=30
civilization,Silla Korea,Self-Syncretism Tradition,Revised Bone-Rank I,Exploration,+1 Culture and Science for each imported Resource.,,,MOD_UNLOCK_SILLA_SYNCRETISM_EXPLORATION
civilization,Silla Korea,Self-Syncretism Tradition,Revised Bone-Rank II,Modern,+2 Culture and Science for each imported Resource.,,,MOD_UNLOCK_SILLA_SYNCRETISM_MODERN
civilization,Songhai,Unique Ability,Tarikh al-Sudan,Apex,"• +2 Resource Capacity in Cities on Navigable Rivers.
• +1 Production in Cities on Navigable Rivers for every Resource assigned to them.
• Can generate Homelands Treasure Convoys on Navigable Rivers after completing the Kanta Civic.
• +30% Production towards constructing the Tomb of Askia.",Buganda,TRAIT_MOD_SONGHAI_TOT_AQ_NAVIGABLE_RIVER_RESOURCE_CAP_TYPE; TRAIT_MOD_RESOURCE_PRODUCTION_TYPE,Amount=1; Amount=1; PercentMultiplier=false; YieldType=YIELD_PRODUCTION; Tooltip=LOC_TRAIT_SONGHAI_ABILITY_NAME
civilization,Songhai,Self-Syncretism Tradition,Charismatic Kingship I,Antiquity,"+1 Gold on Improvements on Desert Terrain, doubled on Unique Improvements.",,,MOD_UNLOCK_SONGHAI_SYNCRETISM_ANTIQUITY
civilization,Songhai,Self-Syncretism Tradition,Charismatic Kingship II,Modern,"+2 Gold on Improvements on Desert Terrain, doubled on Unique Improvements.",,,MOD_UNLOCK_SONGHAI_SYNCRETISM_MODERN
civilization,Spain,Unique Ability,Siglo de Oro,Apex,"• +2 Food, +2 Gold and +2 Production in Settlements adjacent to Coast and in Settlements following your own Religion, or +4 if it is both. Doubled in Settlements in Distant Lands.
• +15% Gold efficiency towards converting a Town to a City, or +30% Gold in Settlements in Distant Lands.
• +30% Production towards constructing El Escorial.",Mexico,TRAIT_MOD_TOT_AQ_COASTAL_SETTLEMENT_YIELDS_TYPE; TRAIT_MOD_TOT_AQ_ALTAR_SETTLEMENT_YIELDS_TYPE,"YieldType=YIELD_FOOD, YIELD_GOLD, YIELD_PRODUCTION; Amount=1; Tooltip=LOC_TRAIT_SPAIN_ABILITY_PREVIEW_COASTAL; YieldType=YIELD_FOOD, YIELD_GOLD, YIELD_PRODUCTION; Amount=1; Tooltip=LOC_TRAIT_SPAIN_ABILITY_PREVIEW_ALTAR"
civilization,Spain,Self-Syncretism Tradition,Corregidor I,Antiquity,+2 Gold on Districts on or adjacent to Coast.,,,MOD_UNLOCK_SPAIN_SYNCRETISM_ANTIQUITY
civilization,Spain,Self-Syncretism Tradition,Corregidor II,Modern,+2 Gold on Districts on or adjacent to Coast. +10% Food and Production in Cities in Distant Lands.,,,MOD_UNLOCK_SPAIN_SYNCRETISM_MODERN
civilization,Tonga,Unique Ability,Lords of the South,Apex,"• +1Influence Influence on the Palace and City Halls in Settlements adjacent to Coast.
• Receive a free Trade Route from a new City-State when you become their Suzerain.
• Cannot use the City-State - Incorporate or the Levy Unit Action.
• +30% Production towards constructing Ha'amonga 'a Maui.",Hawai'i,MOD_TONGA_PALACE_CITY_HALL_INFLUENCE_TYPE; MOD_TONGA_OCEAN_TRADE_TYPE; MOD_TONGA_CS_TRADE_TYPE; MOD_TONGA_MEET_DISTANT_LAND_CIVS_TYPE; MOD_TONGA_FORBID_INCOPERATE_TYPE; MOD_CIV_WONDER_PRODUCTION_TONGA_TYPE,"YieldType=YIELD_DIPLOMACY; Amount=1; ConstructibleType=BUILDING_CITY_HALL, BUILDING_PALACE; Tooltip=LOC_TRAIT_TONGA_ABILITY_NAME; Safe=TRUE; Percent=30"
civilization,Tonga,Self-Syncretism Tradition,T’ui Ha’atakalaua I,Exploration,+3 Culture and Gold in the Capital for every Trade Route with a City-State.,,,MOD_UNLOCK_TONGA_SYNCRETISM_EXPLORATION
civilization,Tonga,Self-Syncretism Tradition,T’ui Ha’atakalaua II,Modern,+4 Culture and Gold in the Capital for every Trade Route with a City-State.,,,MOD_UNLOCK_TONGA_SYNCRETISM_MODERN
civilization,Đại Việt,Unique Ability,Hịch Tướng Sĩ,Apex,LOC_TRAIT_DAI_VIET_ABILITY_DESCRIPTION,Siam,MOD_CIV_WALL_AQ_YIELD_TYPE; MOD_DAI_VIET_AQ_FORTIFICATION_CULTURE_TYPE; MOD_DAI_VIET_AQ_FORTIFICATION_FOOD_TYPE,Amount=15; YieldType=YIELD_CULTURE; YieldType=YIELD_CULTURE; Amount=1; Tooltip=LOC_TRAIT_DAI_VIET_ABILITY_NAME; YieldType=YIELD_FOOD; Amount=1; Tooltip=LOC_TRAIT_DAI_VIET_ABILITY_NAME
civilization,Đại Việt,Self-Syncretism Tradition,Hành Chính Công I,Antiquity,+1 Culture on Improvements and Districts on Vegetation in Tropical Terrain.,,,MOD_UNLOCK_DAI_VIET_SYNCRETISM_ANTIQUITY
civilization,Đại Việt,Self-Syncretism Tradition,Hành Chính Công II,Modern,+1 Culture and Food on Improvements and Districts on Vegetation in Tropical Terrain.,,,MOD_UNLOCK_DAI_VIET_SYNCRETISM_MODERN
leader,Ada Lovelace,Unique Ability,Enchantress of Number,Apex,"• Cities receive +2Science Science per Age when you complete a Civic Mastery. This resets at the start of each Age.
• Gain Culture equal to 100% of your total Science per turn when you complete a Technology Mastery.","Abbasid, Great Britain, Greece, Norman, Rome, Russia",ADA_LOVELACE_MOD_TECH_MASTERY_TYPE; ADA_LOVELACE_MOD_CIVIC_MASTERY_TYPE; ADA_LOVELACE_MOD_AGENDA_ANALYTICAL_ENGINE_TYPE,SystemType=SYSTEM_TECH; YieldTypeConverted=YIELD_SCIENCE; YieldType=YIELD_CULTURE; PercentYieldPerTurn=100; Depth=2; SystemType=SYSTEM_CULTURE; Amount=2; YieldType=YIELD_SCIENCE; ModName=LOC_DIPLOMACY_AGENDA_ANALYTICAL_ENGINE_NAME; Tooltip=LOC_DIPLOMACY_AGENDA_ANALYTICAL_ENGINE_DESC; WeightType=DIPLOMACY_AGENDA_COMPARE_NUM_MASTERIES; FirstMeetDelay=20; UpdateFreq=10; AwardTo1=DIPLOMACY_AGENDA_AWARD_HIGHEST; AwardAmtType1=DIPLOMACY_AGENDA_AMT_SMALL; AwardTo2=DIPLOMACY_AGENDA_AWARD_LOWEST; AwardAmtType2=DIPLOMACY_AGENDA_NEG_AMT_SMALL; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY
leader,Alexander,Unique Ability,King of the World,Apex,"• Cities other than your Capital with a Wonder get +10% Production and Culture, doubled if they are on a different Continent than your Capital.
• +2 Combat Strength for Land Military Units. +1 Combat Strength for Unique Military Units for every City with a Wonder other than your Capital (max 6).
• +2 Dominion for every City with a Wonder other than your Capital.
• Towns converted into Cities are renamed after Alexander.","Abbasid, French Empire, Greece, Mongolia, Ottomans, Achaemenid Persia",ALEXANDER_YIELD_BONUS_WITH_WONDER_CAPITAL_CONT_TYPE; ALEXANDER_YIELD_BONUS_WITH_WONDER_NOT_CAPITAL_CONT_TYPE; ALEXANDER_COMBAT_BONUS_BASE_TYPE; ALEXANDER_MOD_SETTLEMENT_MILITARY_VICTORY_TYPE; ALEXANDER_MOD_ALEXANDRIA_RENAME_TYPE; ALEXANDER_MOD_AGENDA_GODLIKE_BASILEUS_TYPE; ALEXANDER_WONDER_COMBAT_STRENGTH_1_TYPE; ALEXANDER_WONDER_COMBAT_STRENGTH_2_TYPE; ALEXANDER_WONDER_COMBAT_STRENGTH_3_TYPE; ALEXANDER_WONDER_COMBAT_STRENGTH_4_TYPE; ALEXANDER_WONDER_COMBAT_STRENGTH_5_TYPE; ALEXANDER_WONDER_COMBAT_STRENGTH_6_TYPE,"YieldType=YIELD_CULTURE, YIELD_PRODUCTION; Percent=10; Tooltip=LOC_ALEXANDER_KING_OF_THE_WORLD_NAME; YieldType=YIELD_CULTURE, YIELD_PRODUCTION; Percent=20; Tooltip=LOC_ALEXANDER_KING_OF_THE_WORLD_NAME; ModifierId=ALEXANDER_COMBAT_BONUS_BASE_ATTACH; TrackerName=VICTORY_TRACKER_SETTLEMENT_ALEXANDER; Rename=LOC_ALEXANDER_ALEXANDRIA_RENAME; AppendtoRename=true; ModName=LOC_DIPLOMACY_AGENDA_GODLIKE_BASILEUS_NAME; Tooltip=LOC_DIPLOMACY_AGENDA_GODLIKE_BASILEUS_DESC; WeightType=DIPLOMACY_AGENDA_COMPARE_NUM_CONQUERED_SETTLEMENTS; FirstMeetDelay=20; UpdateFreq=10; AwardTo1=DIPLOMACY_AGENDA_AWARD_HIGHEST; AwardAmtType1=DIPLOMACY_AGENDA_NEG_AMT_MEDIUM; AwardTo2=DIPLOMACY_AGENDA_AWARD_LOWEST; AwardAmtType2=DIPLOMACY_AGENDA_AMT_SMALL; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY; ModifierId=ATTACH_ALEXANDER_WONDER_COMBAT_STRENGTH_1; ModifierId=ATTACH_ALEXANDER_WONDER_COMBAT_STRENGTH_2; ModifierId=ATTACH_ALEXANDER_WONDER_COMBAT_STRENGTH_3; ModifierId=ATTACH_ALEXANDER_WONDER_COMBAT_STRENGTH_4; ModifierId=ATTACH_ALEXANDER_WONDER_COMBAT_STRENGTH_5; ModifierId=ATTACH_ALEXANDER_WONDER_COMBAT_STRENGTH_6"
leader,Amina,Unique Ability,Warrior-Queen of Zazzau,Apex,"• +1 Resource Capacity in Cities.
• +1 Gold per Age for each Resource assigned to Cities.
• +5 Combat Strength on all Units in Plains and Desert.","Abbasid, Aksum, Buganda, Egypt, Mexico, Republic of Pirates, Songhai",AMINA_MOD_RESOURCE_CAPACITY_TYPE; AMINA_MOD_RESOURCE_GOLD_TYPE; AMINA_LEAD_MOD_CHECK_FOR_BIOME_TYPE; AMINA_MOD_AGENDA_DESERT_OF_THE_WARRIOR_QUEEN_TYPE,Amount=1; YieldType=YIELD_GOLD; Amount=1; PercentMultiplier=false; AbilityType=ABILITY_AMINA_CHECK_FOR_BIOME; ModName=LOC_DIPLOMACY_AGENDA_DESERT_OF_THE_WARRIOR_QUEEN_NAME; Tooltip=LOC_DIPLOMACY_AGENDA_DESERT_OF_THE_WARRIOR_QUEEN_DESC; WeightType=DIPLOMACY_AGENDA_COMPARE_BIOMES; FirstMeetDelay=20; UpdateFreq=10; AwardTo1=DIPLOMACY_AGENDA_AWARD_HIGHER; AwardAmtType1=DIPLOMACY_AGENDA_NEG_AMT_MEDIUM; Arg1=BIOME_PLAINS; Arg2=BIOME_DESERT; Arg4=DIPLOMACY_AGENDA_INSTRUCTION_SETTLEMENT_CENTER_ONLY; AwardTo2=DIPLOMACY_AGENDA_AWARD_NONE; AwardAmtType2=DIPLOMACY_AGENDA_AMT_SMALL; NotifyMessage=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_MESSAGE; NotifySummary=LOC_NOTIFICATION_DIPLOMATIC_AGENDA_DEFAULT_SUMMARY
